Date,Price
2018-02-11,1322.52
2018-02-08,1315.73
2018-02-07,1318.83
2018-02-06,1318.42
2018-02-05,1324.34
2018-02-04,1339.53
2018-02-01,1332.69
2018-01-31,1348.79
2018-01-30,1345.04
2018-01-29,1338.52
2018-01-28,1340.34
2018-01-25,1350.1
2018-01-24,1348.27
2018-01-23,1358.4
2018-01-22,1341.34
2018-01-21,1333.93
2018-01-18,1331.56
2018-01-17,1326.81
2018-01-16,1326.11
2018-01-15,1338.4
2018-01-14,1340.07
2018-01-11,1338.3
2018-01-10,1322.36
2018-01-09,1316.63
2018-01-08,1312.78
2018-01-07,1320.41
2018-01-04,1320.03
2018-01-03,1322.71
2018-01-02,1313.11
2018-01-01,1317.41
2017-12-28,1302.66
2017-12-27,1294.9
2017-12-26,1287.16
2017-12-25,1282.85
2017-12-21,1275.39
2017-12-20,1266.59
2017-12-19,1265.41
2017-12-18,1261.57
2017-12-17,1262.02
2017-12-14,1255.46
2017-12-13,1252.66
2017-12-12,1255.63
2017-12-11,1244.4
2017-12-10,1242.11
2017-12-07,1248.18
2017-12-06,1247.04
2017-12-05,1263.31
2017-12-04,1265.82
2017-12-03,1276.05
2017-11-30,1280
2017-11-29,1274.88
2017-11-28,1283.56
2017-11-27,1293.62
2017-11-26,1294.37
2017-11-23,1288.45
2017-11-22,1290.83
2017-11-21,1292.05
2017-11-20,1280.24
2017-11-19,1276.81
2017-11-16,1294.22
2017-11-15,1278.58
2017-11-14,1278.18
2017-11-13,1280.15
2017-11-12,1278.26
2017-11-09,1275.72
2017-11-08,1284.99
2017-11-07,1281.4
2017-11-06,1275.19
2017-11-05,1281.85
2017-11-02,1270.14
2017-11-01,1275.91
2017-10-31,1274.56
2017-10-30,1270.81
2017-10-29,1276.31
2017-10-26,1273.54
2017-10-25,1267.06
2017-10-24,1277.45
2017-10-23,1276.68
2017-10-22,1282
2017-10-19,1280.23
2017-10-18,1289.7
2017-10-17,1280.9
2017-10-16,1285.15
2017-10-15,1295.1
2017-10-12,1303.4
2017-10-11,1293.51
2017-10-10,1291.72
2017-10-09,1287.75
2017-10-08,1283.97
2017-10-05,1276.27
2017-10-04,1268.14
2017-10-03,1274.69
2017-10-02,1271.82
2017-10-01,1270.85
2017-09-28,1279.45
2017-09-27,1287.41
2017-09-26,1282.8
2017-09-25,1293.72
2017-09-24,1310.6
2017-09-21,1297.01
2017-09-20,1291.34
2017-09-19,1301.18
2017-09-18,1311.12
2017-09-17,1307.5
2017-09-14,1320.4
2017-09-13,1329.45
2017-09-12,1323.14
2017-09-11,1331.91
2017-09-10,1327.55
2017-09-07,1346.59
2017-09-06,1349.04
2017-09-05,1334.11
2017-09-04,1339.67
2017-09-03,1334.01
2017-08-31,1324.69
2017-08-30,1321.35
2017-08-29,1308.73
2017-08-28,1309.52
2017-08-27,1309.88
2017-08-24,1291.57
2017-08-23,1286.28
2017-08-22,1290.68
2017-08-21,1284.99
2017-08-20,1291.91
2017-08-17,1284.75
2017-08-16,1287.92
2017-08-15,1283.08
2017-08-14,1271.36
2017-08-13,1281.77
2017-08-10,1290.52
2017-08-09,1286.35
2017-08-08,1277.24
2017-08-07,1260.85
2017-08-06,1257.77
2017-08-03,1258.87
2017-08-02,1268.5
2017-08-01,1266.54
2017-07-31,1268.78
2017-07-30,1269.4
2017-07-27,1268.96
2017-07-26,1258.93
2017-07-25,1260.8
2017-07-24,1249.84
2017-07-23,1255.15
2017-07-20,1254.76
2017-07-19,1244.47
2017-07-18,1241.12
2017-07-17,1242.35
2017-07-16,1233.93
2017-07-13,1228.86
2017-07-12,1217.38
2017-07-11,1220.33
2017-07-10,1217.26
2017-07-09,1214.13
2017-07-06,1212.27
2017-07-05,1225.02
2017-07-04,1226.76
2017-07-03,1222.67
2017-07-02,1220.18
2017-06-29,1241.49
2017-06-28,1245.2
2017-06-27,1249.09
2017-06-26,1247.07
2017-06-25,1244.46
2017-06-22,1256.65
2017-06-21,1250.38
2017-06-20,1246.49
2017-06-19,1243.1
2017-06-18,1243.64
2017-06-15,1253.44
2017-06-14,1253.84
2017-06-13,1261.03
2017-06-12,1266.43
2017-06-11,1265.72
2017-06-08,1266.69
2017-06-07,1277.82
2017-06-06,1286.73
2017-06-05,1294.02
2017-06-04,1279.48
2017-06-01,1278.66
2017-05-31,1265.8
2017-05-30,1268.75
2017-05-29,1262.85
2017-05-28,1266.44
2017-05-25,1266.94
2017-05-24,1255.57
2017-05-23,1258.55
2017-05-22,1251.09
2017-05-21,1260.32
2017-05-18,1255.4
2017-05-17,1247.1
2017-05-16,1261.11
2017-05-15,1236.88
2017-05-14,1230.31
2017-05-11,1228.56
2017-05-10,1224.85
2017-05-09,1218.95
2017-05-08,1221.01
2017-05-07,1225.95
2017-05-04,1227.71
2017-05-03,1227.72
2017-05-02,1237.99
2017-05-01,1256.73
2017-04-30,1256.5
2017-04-27,1268.05
2017-04-26,1264.28
2017-04-25,1268.72
2017-04-24,1263.54
2017-04-23,1275.23
2017-04-20,1284.45
2017-04-19,1281.46
2017-04-18,1279.52
2017-04-17,1288.97
2017-04-16,1284.26
2017-04-12,1287.15
2017-04-11,1286.12
2017-04-10,1274.26
2017-04-09,1254.27
2017-04-06,1254.41
2017-04-05,1251.51
2017-04-04,1255.37
2017-04-03,1255.83
2017-04-02,1253.3
2017-03-30,1249.06
2017-03-29,1242.96
2017-03-28,1253.01
2017-03-27,1251.64
