USA,,,1992,17,1992;04;20,1992-04-20,,,,,,,,,,,,,1.058,,All
USA,,,1992,18,1992;04;27,1992-04-27,,,,,,,,,,,,,1.072,,All
USA,,,1992,19,1992;05;04,1992-05-04,,,,,,,,,,,,,1.089,,All
USA,,,1992,20,1992;05;11,1992-05-11,,,,,,,,,,,,,1.102,,All
USA,,,1992,21,1992;05;18,1992-05-18,,,,,,,,,,,,,1.118,,All
USA,,,1992,22,1992;05;25,1992-05-25,,,,,,,,,,,,,1.12,,All
USA,,,1992,23,1992;06;01,1992-06-01,,,,,,,,,,,,,1.128,,All
USA,,,1992,24,1992;06;08,1992-06-08,,,,,,,,,,,,,1.143,,All
USA,,,1992,25,1992;06;15,1992-06-15,,,,,,,,,,,,,1.151,,All
USA,,,1992,26,1992;06;22,1992-06-22,,,,,,,,,,,,,1.153,,All
USA,,,1992,27,1992;06;29,1992-06-29,,,,,,,,,,,,,1.149,,All
USA,,,1992,28,1992;07;06,1992-07-06,,,,,,,,,,,,,1.147,,All
USA,,,1992,29,1992;07;13,1992-07-13,,,,,,,,,,,,,1.139,,All
USA,,,1992,30,1992;07;20,1992-07-20,,,,,,,,,,,,,1.132,,All
USA,,,1992,31,1992;07;27,1992-07-27,,,,,,,,,,,,,1.128,,All
USA,,,1992,32,1992;08;03,1992-08-03,,,,,,,,,,,,,1.126,,All
USA,,,1992,33,1992;08;10,1992-08-10,,,,,,,,,,,,,1.123,,All
USA,,,1992,34,1992;08;17,1992-08-17,,,,,,,,,,,,,1.116,,All
USA,,,1992,35,1992;08;24,1992-08-24,,,,,,,,,,,,,1.123,,All
USA,,,1992,36,1992;08;31,1992-08-31,,,,,,,,,,,,,1.121,,All
USA,,,1992,37,1992;09;07,1992-09-07,,,,,,,,,,,,,1.121,,All
USA,,,1992,38,1992;09;14,1992-09-14,,,,,,,,,,,,,1.124,,All
USA,,,1992,39,1992;09;21,1992-09-21,,,,,,,,,,,,,1.123,,All
USA,,,1992,40,1992;09;28,1992-09-28,,,,,,,,,,,,,1.118,,All
USA,,,1992,41,1992;10;05,1992-10-05,,,,,,,,,,,,,1.115,,All
USA,,,1992,42,1992;10;12,1992-10-12,,,,,,,,,,,,,1.115,,All
USA,,,1992,43,1992;10;19,1992-10-19,,,,,,,,,,,,,1.113,,All
USA,,,1992,44,1992;10;26,1992-10-26,,,,,,,,,,,,,1.113,,All
USA,,,1992,45,1992;11;02,1992-11-02,,,,,,,,,,,,,1.12,,All
USA,,,1992,46,1992;11;09,1992-11-09,,,,,,,,,,,,,1.12,,All
USA,,,1992,47,1992;11;16,1992-11-16,,,,,,,,,,,,,1.112,,All
USA,,,1992,48,1992;11;23,1992-11-23,,,,,,,,,,,,,1.106,,All
USA,,,1992,49,1992;11;30,1992-11-30,,,,,,,,,,,,,1.098,,All
USA,,,1992,50,1992;12;07,1992-12-07,,,,,,,,,,,,,1.089,,All
USA,,,1992,51,1992;12;14,1992-12-14,,,,,,,,,,,,,1.078,,All
USA,,,1992,52,1992;12;21,1992-12-21,,,,,,,,,,,,,1.074,,All
USA,,,1992,1,1992;12;28,1992-12-28,,,,,,,,,,,,,1.069,,All
USA,,,1993,2,1993;01;04,1993-01-04,,,,,,,,,,,,,1.065,,All
USA,,,1993,3,1993;01;11,1993-01-11,,,,,,,,,,,,,1.066,,All
USA,,,1993,4,1993;01;18,1993-01-18,,,,,,,,,,,,,1.061,,All
USA,,,1993,5,1993;01;25,1993-01-25,,,,,,,,,,,,,1.055,,All
USA,,,1993,6,1993;02;01,1993-02-01,,,,,,,,,,,,,1.055,,All
USA,,,1993,7,1993;02;08,1993-02-08,,,,,,,,,,,,,1.062,,All
USA,,,1993,8,1993;02;15,1993-02-15,,,,,,,,,,,,,1.053,,All
USA,,,1993,9,1993;02;22,1993-02-22,,,,,,,,,,,,,1.047,,All
USA,,,1993,10,1993;03;01,1993-03-01,,,,,,,,,,,,,1.042,,All
USA,,,1993,11,1993;03;08,1993-03-08,,,,,,,,,,,,,1.048,,All
USA,,,1993,12,1993;03;15,1993-03-15,,,,,,,,,,,,,1.058,,All
USA,,,1993,13,1993;03;22,1993-03-22,,,,,,,,,,,,,1.056,,All
USA,,,1993,14,1993;03;29,1993-03-29,,,,,,,,,,,,,1.057,,All
USA,,,1993,15,1993;04;05,1993-04-05,,,,,,,,,,,,,1.068,,All
USA,,,1993,16,1993;04;12,1993-04-12,,,,,,,,,,,,,1.079,,All
USA,,,1993,17,1993;04;19,1993-04-19,,,,,,,,,,,,,1.079,,All
USA,,,1993,18,1993;04;26,1993-04-26,,,,,,,,,,,,,1.086,,All
USA,,,1993,19,1993;05;03,1993-05-03,,,,,,,,,,,,,1.086,,All
USA,,,1993,20,1993;05;10,1993-05-10,,,,,,,,,,,,,1.097,,All
USA,,,1993,21,1993;05;17,1993-05-17,,,,,,,,,,,,,1.106,,All
USA,,,1993,22,1993;05;24,1993-05-24,,,,,,,,,,,,,1.106,,All
USA,,,1993,23,1993;05;31,1993-05-31,,,,,,,,,,,,,1.107,,All
USA,,,1993,24,1993;06;07,1993-06-07,,,,,,,,,,,,,1.104,,All
USA,,,1993,25,1993;06;14,1993-06-14,,,,,,,,,,,,,1.101,,All
USA,,,1993,26,1993;06;21,1993-06-21,,,,,,,,,,,,,1.095,,All
USA,,,1993,27,1993;06;28,1993-06-28,,,,,,,,,,,,,1.089,,All
USA,,,1993,28,1993;07;05,1993-07-05,,,,,,,,,,,,,1.086,,All
USA,,,1993,29,1993;07;12,1993-07-12,,,,,,,,,,,,,1.081,,All
USA,,,1993,30,1993;07;19,1993-07-19,,,,,,,,,,,,,1.075,,All
USA,,,1993,31,1993;07;26,1993-07-26,,,,,,,,,,,,,1.069,,All
USA,,,1993,32,1993;08;02,1993-08-02,,,,,,,,,,,,,1.062,,All
