Date,Price
2018-12-07,112.69
2018-12-06,112.68
2018-12-05,113.19
2018-12-04,112.77
2018-12-03,113.47
2018-11-30,113.65
2018-11-28,113.56
2018-11-27,113.78
2018-11-26,113.59
2018-11-25,112.91
2018-11-23,112.95
2018-11-22,112.94
2018-11-21,113.06
2018-11-20,112.77
2018-11-19,112.56
2018-11-18,112.72
2018-11-16,112.83
2018-11-15,113.64
2018-11-14,113.62
2018-11-13,113.81
2018-11-12,113.83
2018-11-11,113.85
2018-11-09,113.83
2018-11-08,114.06
2018-11-07,113.53
2018-11-06,113.44
2018-11-05,113.19
2018-11-04,113.13
2018-11-02,113.2
2018-11-01,112.72
2018-10-31,112.94
2018-10-30,113.09
2018-10-29,112.38
2018-10-28,111.93
2018-10-26,111.91
2018-10-25,112.42
2018-10-24,112.26
2018-10-23,112.44
2018-10-22,112.83
2018-10-21,112.47
2018-10-19,112.55
2018-10-18,112.19
2018-10-17,112.65
2018-10-16,112.25
2018-10-15,111.78
2018-10-14,112.21
2018-10-12,112.2
2018-10-11,112.17
2018-10-10,112.28
2018-10-09,112.95
2018-10-08,113.23
2018-10-07,113.71
2018-10-05,113.72
2018-10-04,113.92
2018-10-03,114.53
2018-10-02,113.67
2018-10-01,113.92
2018-09-30,113.8
2018-09-28,113.69
2018-09-27,113.38
2018-09-26,112.73
2018-09-25,112.97
2018-09-24,112.81
2018-09-23,112.53
2018-09-21,112.58
2018-09-20,112.5
2018-09-19,112.28
2018-09-18,112.36
2018-09-17,111.84
2018-09-16,111.97
2018-09-14,112.06
2018-09-13,111.92
2018-09-12,111.27
2018-09-11,111.64
2018-09-10,111.12
2018-09-09,110.93
2018-09-07,111.08
2018-09-06,110.75
2018-09-05,111.53
2018-09-04,111.45
2018-09-03,111.08
2018-09-02,111.14
2018-08-31,111.04
2018-08-30,110.98
2018-08-29,111.67
2018-08-28,111.19
2018-08-27,111.08
2018-08-26,111.29
2018-08-24,111.23
2018-08-23,111.3
2018-08-22,110.56
2018-08-21,110.31
2018-08-20,110.07
2018-08-19,110.48
2018-08-17,110.5
2018-08-16,110.89
2018-08-15,110.75
2018-08-14,111.16
2018-08-13,110.73
2018-08-12,110.63
2018-08-10,110.94
2018-08-09,111.08
2018-08-08,110.98
2018-08-07,111.39
2018-08-06,111.41
2018-08-05,111.24
2018-08-03,111.27
2018-08-02,111.66
2018-08-01,111.72
2018-07-31,111.88
2018-07-30,111.07
2018-07-29,110.94
2018-07-27,111.05
2018-07-26,111.22
2018-07-25,110.97
