Date,Price
12/19/17,1265.41
12/18/17,1261.57
12/17/17,1262.02
12/14/17,1255.46
12/13/17,1252.66
12/12/17,1255.63
12/11/17,1244.4
12/10/17,1242.11
12/07/17,1248.18
12/06/17,1247.04
12/05/17,1263.31
12/04/17,1265.82
12/03/17,1276.05
11/30/17,1280
11/29/17,1274.88
11/28/17,1283.56
11/27/17,1293.62
11/26/17,1294.37
11/23/17,1288.45
11/22/17,1290.83
11/21/17,1292.05
11/20/17,1280.24
11/19/17,1276.81
11/16/17,1294.22
11/15/17,1278.58
11/14/17,1278.18
11/13/17,1280.15
11/12/17,1278.26
11/09/17,1275.72
11/08/17,1284.99
11/07/17,1281.4
11/06/17,1275.19
11/05/17,1281.85
11/02/17,1270.14
11/01/17,1275.91
10/31/17,1274.56
10/30/17,1270.81
10/29/17,1276.31
10/26/17,1273.54
10/25/17,1267.06
10/24/17,1277.45
10/23/17,1276.68
10/22/17,1282
10/19/17,1280.23
10/18/17,1289.7
10/17/17,1280.9
10/16/17,1285.15
10/15/17,1295.1
10/12/17,1303.4
10/11/17,1293.51
10/10/17,1291.72
10/09/17,1287.75
10/08/17,1283.97
10/05/17,1276.27
10/04/17,1268.14
10/03/17,1274.69
10/02/17,1271.82
10/01/17,1270.85
09/28/17,1279.45
09/27/17,1287.41
09/26/17,1282.8
09/25/17,1293.72
09/24/17,1310.6
09/21/17,1297.01
09/20/17,1291.34
09/19/17,1301.18
09/18/17,1311.12
09/17/17,1307.5
09/14/17,1320.4
09/13/17,1329.45
09/12/17,1323.14
09/11/17,1331.91
09/10/17,1327.55
09/07/17,1346.59
09/06/17,1349.04
09/05/17,1334.11
09/04/17,1339.67
09/03/17,1334.01
08/31/17,1324.69
08/30/17,1321.35
08/29/17,1308.73
08/28/17,1309.52
08/27/17,1309.88
08/24/17,1291.57
08/23/17,1286.28
08/22/17,1290.68
08/21/17,1284.99
08/20/17,1291.91
08/17/17,1284.75
08/16/17,1287.92
08/15/17,1283.08
08/14/17,1271.36
08/13/17,1281.77
08/10/17,1290.52
08/09/17,1286.35
08/08/17,1277.24
08/07/17,1260.85
08/06/17,1257.77
08/03/17,1258.87
08/02/17,1268.5
08/01/17,1266.54
07/31/17,1268.78
07/30/17,1269.4
07/27/17,1268.96
07/26/17,1258.93
07/25/17,1260.8
07/24/17,1249.84
07/23/17,1255.15
07/20/17,1254.76
07/19/17,1244.47
07/18/17,1241.12
07/17/17,1242.35
07/16/17,1233.93
07/13/17,1228.86
07/12/17,1217.38
07/11/17,1220.33
07/10/17,1217.26
07/09/17,1214.13
07/06/17,1212.27
07/05/17,1225.02
07/04/17,1226.76
07/03/17,1222.67
07/02/17,1220.18
06/29/17,1241.49
06/28/17,1245.2
06/27/17,1249.09
06/26/17,1247.07
06/25/17,1244.46
06/22/17,1256.65
06/21/17,1250.38
06/20/17,1246.49
06/19/17,1243.1
06/18/17,1243.64
06/15/17,1253.44
06/14/17,1253.84
06/13/17,1261.03
06/12/17,1266.43
06/11/17,1265.72
06/08/17,1266.69
06/07/17,1277.82
06/06/17,1286.73
06/05/17,1294.02
06/04/17,1279.48
06/01/17,1278.66
05/31/17,1265.8
05/30/17,1268.75
05/29/17,1262.85
05/28/17,1266.44
05/25/17,1266.94
05/24/17,1255.57
05/23/17,1258.55
05/22/17,1251.09
05/21/17,1260.32
05/18/17,1255.4
05/17/17,1247.1
05/16/17,1261.11
05/15/17,1236.88
05/14/17,1230.31
05/11/17,1228.56
05/10/17,1224.85
05/09/17,1218.95
05/08/17,1221.01
05/07/17,1225.95
05/04/17,1227.71
05/03/17,1227.72
05/02/17,1237.99
05/01/17,1256.73
04/30/17,1256.5
04/27/17,1268.05
04/26/17,1264.28
04/25/17,1268.72
04/24/17,1263.54
04/23/17,1275.23
04/20/17,1284.45
04/19/17,1281.46
04/18/17,1279.52
04/17/17,1288.97
04/16/17,1284.26
04/12/17,1287.15
04/11/17,1286.12
04/10/17,1274.26
04/09/17,1254.27
04/06/17,1254.41
04/05/17,1251.51
04/04/17,1255.37
04/03/17,1255.83
04/02/17,1253.3
03/30/17,1249.06
03/29/17,1242.96
03/28/17,1253.01
03/27/17,1251.64
03/26/17,1254.25
03/23/17,1245.67
03/22/17,1244.96
03/21/17,1248.71
03/20/17,1244.32
03/19/17,1234.05
03/16/17,1229.35
03/15/17,1226.15
03/14/17,1219.3
