"","Price.1994","Price.1995","Price.1996","Price.1998","Price.1999","Price.2000","Price.2001","Price.2002","Price.2003","Price.2004","Price.2005","Price.2006","Price.2007","Price.2008","Price.2009","Price.2010","Price.2011","Price.2012","Price.2013","Price.2014","Price.2015","Price.2016","Price.2017","Price.2018","Price.2019"
"30",1.114,1.138,1.209,1.035,1.172,1.499,1.319,1.376,1.488,1.861,2.235,2.95,2.849,3.896,2.46,2.703,3.667,3.435,3.57,3.468,2.605,2.105,2.224,2.772,2.615
"31",1.13,1.126,1.199,1.023,1.172,1.447,1.319,1.355,1.516,1.846,2.239,2.955,2.816,3.828,2.511,2.687,3.684,3.45,3.566,3.449,2.555,2.091,2.269,2.781,NA
"32",1.157,1.124,1.196,1.018,1.183,1.437,1.347,1.355,1.55,1.839,2.323,3.004,2.752,3.764,2.596,2.74,3.646,3.606,3.493,3.447,2.505,2.087,2.29,2.774,NA
"33",1.161,1.121,1.199,1.011,1.214,1.42,1.399,1.357,1.594,1.842,2.519,2.958,2.783,3.706,2.58,2.696,3.576,3.662,3.496,3.408,2.608,2.096,2.301,2.755,NA
"34",1.165,1.122,1.201,1.004,1.212,1.444,1.48,1.365,1.693,1.854,2.583,2.877,2.756,3.66,2.572,2.653,3.552,3.682,3.504,3.397,2.534,2.136,2.273,2.761,NA
"35",1.161,1.113,1.193,0.998,1.214,1.456,1.538,1.353,1.688,1.827,2.581,2.8,2.818,3.667,2.553,2.64,3.601,3.722,3.575,3.41,2.406,2.187,2.322,2.759,NA
"36",1.156,1.111,1.201,0.991,1.223,1.502,1.511,1.355,1.653,1.815,3.037,2.68,2.84,3.637,2.519,2.647,3.643,3.797,3.54,3.406,2.337,2.17,2.604,2.765,NA
"37",1.15,1.107,1.203,0.987,1.234,1.535,1.516,1.367,1.636,1.813,2.912,2.563,2.792,3.867,2.499,2.695,3.629,3.799,3.475,3.352,2.28,2.138,2.61,2.771,NA
"38",1.14,1.106,1.203,0.999,1.252,1.539,1.46,1.357,1.58,1.839,2.73,2.441,2.816,3.732,2.477,2.703,3.56,3.832,3.425,3.296,2.237,2.17,2.559,2.779,NA
"39",1.129,1.106,1.199,0.999,1.248,1.525,1.381,1.385,1.524,1.895,2.767,2.32,2.784,3.644,2.425,2.668,3.461,3.775,3.354,3.304,2.246,2.166,2.508,2.796,NA
"40",1.12,1.1,1.191,1.006,1.242,1.498,1.31,1.416,1.511,1.902,2.922,2.263,2.761,3.485,2.396,2.705,3.381,3.75,3.298,3.246,2.252,2.184,2.493,2.829,NA
"41",1.114,1.092,1.203,1.01,1.234,1.473,1.264,1.422,1.515,1.949,2.828,2.222,2.746,3.109,2.432,2.793,3.368,3.742,3.296,3.147,2.283,2.216,2.426,2.806,NA
"42",1.106,1.081,1.205,1.007,1.22,1.516,1.221,1.443,1.527,1.984,2.693,2.195,2.806,2.855,2.532,2.795,3.431,3.713,3.31,3.07,2.22,2.198,2.413,2.763,NA
"43",1.107,1.073,1.217,1.001,1.225,1.532,1.193,1.427,1.499,1.98,2.564,2.186,2.859,2.589,2.641,2.772,3.415,3.582,3.235,3.016,2.166,2.175,2.406,2.732,NA
"44",1.121,1.062,1.225,0.997,1.218,1.523,1.17,1.427,1.494,1.986,2.438,2.204,3.007,2.34,2.66,2.76,3.405,3.48,3.209,2.956,2.17,2.159,2.41,2.67,NA
"45",1.123,1.06,1.229,0.994,1.222,1.502,1.147,1.406,1.464,1.951,2.336,2.189,3.101,2.17,2.627,2.832,3.37,3.406,3.133,2.907,2.172,2.157,2.468,2.604,NA
"46",1.122,1.059,1.238,0.981,1.24,1.501,1.14,1.37,1.459,1.918,2.258,2.216,3.077,2.027,2.585,2.849,3.388,3.372,3.161,2.856,2.11,2.105,2.504,2.525,NA
"47",1.113,1.056,1.246,0.971,1.258,1.487,1.097,1.336,1.478,1.901,2.168,2.218,3.072,1.857,2.603,2.828,3.312,3.36,3.241,2.781,2.015,2.078,2.48,2.445,NA
"48",1.082,1.057,1.242,0.954,1.262,1.489,1.084,1.316,1.454,1.903,2.124,2.221,3.029,1.79,2.594,2.805,3.248,3.382,3.209,2.738,1.974,2.079,2.444,2.35,NA
"49",1.075,1.058,1.241,0.933,1.26,1.464,1.075,1.316,1.441,1.868,2.127,2.277,2.957,1.681,2.601,2.917,3.24,3.337,3.208,2.634,1.969,2.137,2.41,2.325,NA
"50",1.064,1.057,1.233,0.923,1.263,1.425,1.042,1.322,1.433,1.799,2.175,2.267,2.962,1.648,2.56,2.937,3.244,3.297,3.165,2.499,1.953,2.174,2.401,2.268,NA
"51",1.056,1.072,1.227,0.921,1.257,1.396,1.063,1.371,1.459,1.777,2.205,2.29,2.943,1.635,2.546,2.934,3.183,3.198,3.198,2.341,1.929,2.203,2.358,2.216,NA
"52",1.044,NA,1.077,0.914,1.263,NA,1.377,1.417,1.454,1.754,2.188,NA,2.296,1.59,2.564,3.015,3.213,3.245,3.264,2.229,1.933,2.254,NA,2.436,NA
"104",NA,1.075,NA,NA,NA,1.388,NA,NA,NA,NA,NA,2.303,NA,NA,NA,NA,NA,3.205,NA,NA,NA,NA,2.384,NA,NA
