"","Day","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"311",311,385.86,388.75,390.65,393.11,395.51,397.27,399.8,403.29,405.4,407.66,410.34
"312",312,385.91,388.81,390.71,393.17,395.57,397.34,399.87,403.33,405.46,407.72,410.39
"313",313,385.96,388.87,390.78,393.23,395.63,397.41,399.94,403.37,405.52,407.79,410.44
"314",314,386.01,388.93,390.84,393.29,395.68,397.48,400.01,403.41,405.57,407.85,410.49
"315",315,386.06,388.99,390.9,393.35,395.74,397.55,400.09,403.45,405.63,407.91,410.54
"316",316,386.11,389.05,390.97,393.4,395.79,397.61,400.16,403.49,405.68,407.97,410.59
"317",317,386.16,389.11,391.03,393.46,395.85,397.68,400.23,403.53,405.73,408.03,410.63
"318",318,386.21,389.17,391.09,393.51,395.9,397.74,400.3,403.56,405.78,408.08,410.68
"319",319,386.26,389.23,391.15,393.56,395.96,397.8,400.37,403.6,405.83,408.14,410.73
"320",320,386.31,389.29,391.21,393.61,396.01,397.86,400.44,403.64,405.88,408.2,410.78
"321",321,386.36,389.35,391.27,393.66,396.06,397.92,400.5,403.68,405.93,408.25,410.83
"322",322,386.41,389.41,391.33,393.71,396.11,397.98,400.57,403.71,405.97,408.31,410.87
"323",323,386.46,389.47,391.38,393.76,396.16,398.04,400.64,403.75,406.02,408.36,410.92
"324",324,386.51,389.53,391.44,393.8,396.21,398.1,400.7,403.79,406.06,408.41,410.97
"325",325,386.56,389.58,391.49,393.85,396.26,398.15,400.76,403.83,406.1,408.46,411.01
"326",326,386.6,389.64,391.55,393.89,396.31,398.21,400.83,403.86,406.14,408.51,411.06
"327",327,386.65,389.69,391.6,393.93,396.36,398.26,400.89,403.9,406.18,408.56,411.1
"328",328,386.7,389.75,391.65,393.97,396.41,398.31,400.95,403.94,406.22,408.61,411.15
"329",329,386.74,389.81,391.71,394.01,396.45,398.36,401.01,403.97,406.26,408.66,411.19
"330",330,386.79,389.86,391.76,394.05,396.5,398.41,401.07,404.01,406.29,408.71,411.24
"331",331,386.84,389.91,391.81,394.08,396.54,398.46,401.13,404.05,406.33,408.75,411.28
"332",332,386.88,389.97,391.85,394.12,396.59,398.51,401.18,404.08,406.37,408.8,411.33
"333",333,386.93,390.02,391.9,394.15,396.63,398.55,401.24,404.12,406.4,408.84,411.37
"334",334,386.97,390.07,391.95,394.18,396.67,398.59,401.29,404.16,406.43,408.88,411.41
"335",335,387.01,390.12,391.99,394.21,396.71,398.64,401.35,404.19,406.47,408.93,411.46
"336",336,387.06,390.17,392.03,394.24,396.75,398.68,401.4,404.23,406.5,408.97,411.5
"337",337,387.1,390.22,392.08,394.27,396.79,398.72,401.45,404.27,406.53,409.01,411.54
"338",338,387.14,390.27,392.12,394.3,396.83,398.76,401.5,404.3,406.56,409.05,411.58
"339",339,387.19,390.32,392.16,394.33,396.86,398.8,401.55,404.34,406.59,409.09,411.63
"340",340,387.23,390.37,392.19,394.35,396.9,398.83,401.59,404.38,406.62,409.12,411.67
"341",341,387.27,390.41,392.23,394.38,396.93,398.87,401.64,404.42,406.65,409.16,411.71
"342",342,387.31,390.46,392.27,394.4,396.97,398.9,401.68,404.45,406.68,409.2,411.75
"343",343,387.35,390.5,392.3,394.42,397,398.94,401.73,404.49,406.71,409.23,411.79
"344",344,387.39,390.55,392.34,394.45,397.03,398.97,401.77,404.53,406.74,409.27,411.83
"345",345,387.43,390.59,392.37,394.47,397.06,399,401.81,404.57,406.77,409.3,411.87
"346",346,387.46,390.63,392.4,394.49,397.09,399.03,401.85,404.6,406.8,409.33,411.91
"347",347,387.5,390.67,392.43,394.51,397.12,399.06,401.89,404.64,406.83,409.37,411.94
"348",348,387.54,390.72,392.46,394.53,397.15,399.09,401.92,404.68,406.85,409.4,411.98
"349",349,387.58,390.76,392.49,394.55,397.18,399.12,401.96,404.71,406.88,409.43,412.02
"350",350,387.61,390.79,392.52,394.57,397.2,399.14,401.99,404.75,406.91,409.46,412.06
"351",351,387.65,390.83,392.55,394.58,397.23,399.17,402.03,404.79,406.94,409.49,412.09
"352",352,387.68,390.87,392.58,394.6,397.25,399.2,402.06,404.83,406.96,409.52,412.13
"353",353,387.72,390.91,392.6,394.62,397.28,399.22,402.09,404.86,406.99,409.55,412.17
"354",354,387.75,390.94,392.63,394.64,397.3,399.25,402.12,404.9,407.02,409.58,NA
"355",355,387.79,390.98,392.65,394.66,397.32,399.27,402.15,404.94,407.05,409.6,NA
"356",356,387.82,391.01,392.67,394.67,397.34,399.3,402.18,404.97,407.07,409.63,NA
"357",357,387.85,391.04,392.7,394.69,397.36,399.32,402.2,405.01,407.1,409.66,NA
"358",358,387.88,391.07,392.72,394.71,397.38,399.34,402.23,405.05,407.13,409.68,NA
"359",359,387.91,391.11,392.74,394.73,397.4,399.37,402.26,405.08,407.15,409.71,NA
"360",360,387.94,391.14,392.76,394.75,397.42,399.39,402.28,405.12,407.18,409.73,NA
"361",361,387.97,391.16,392.78,394.77,397.44,399.41,402.3,405.15,407.21,409.76,NA
"362",362,388,391.19,392.8,394.78,397.45,399.43,402.32,405.19,407.23,409.78,NA
"363",363,388.03,391.22,392.82,394.8,397.47,399.45,402.34,405.22,407.26,409.8,NA
"364",364,388.06,391.25,392.84,394.82,397.49,399.48,402.37,405.26,407.29,409.83,NA
"365",365,388.09,391.27,392.85,394.84,397.5,399.5,402.38,405.29,407.31,409.85,NA
"1461",366,NA,NA,NA,394.87,NA,NA,NA,405.33,NA,NA,NA
