"","Day","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"14",96,2.011,NA,NA,NA,NA,NA,2.315,NA,NA,NA,NA
"275",97,NA,NA,NA,NA,NA,3.533,NA,NA,NA,NA,NA
"223",98,NA,NA,NA,NA,3.539,NA,NA,NA,NA,NA,2.65
"484",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.587,NA
"171",100,NA,NA,NA,3.877,NA,NA,NA,NA,2.351,NA,NA
"119",101,NA,NA,3.743,NA,NA,NA,NA,NA,NA,NA,NA
"67",102,NA,2.829,NA,NA,NA,NA,NA,1.981,NA,NA,NA
"15",103,2.025,NA,NA,NA,NA,NA,2.317,NA,NA,NA,NA
"276",104,NA,NA,NA,NA,NA,3.581,NA,NA,NA,NA,NA
"224",105,NA,NA,NA,NA,3.469,NA,NA,NA,NA,NA,2.725
"485",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.644,NA
"172",107,NA,NA,NA,3.867,NA,NA,NA,NA,2.356,NA,NA
"120",108,NA,NA,3.787,NA,NA,NA,NA,NA,NA,NA,NA
"68",109,NA,2.831,NA,NA,NA,NA,NA,2.053,NA,NA,NA
"16",110,2.031,NA,NA,NA,NA,NA,2.393,NA,NA,NA,NA
"277",111,NA,NA,NA,NA,NA,3.612,NA,NA,NA,NA,NA
"225",112,NA,NA,NA,NA,3.472,NA,NA,NA,NA,NA,2.723
"486",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.696,NA
"173",114,NA,NA,NA,3.805,NA,NA,NA,NA,2.372,NA,NA
"121",115,NA,NA,3.817,NA,NA,NA,NA,NA,NA,NA,NA
"69",116,NA,2.815,NA,NA,NA,NA,NA,2.08,NA,NA,NA
"17",117,2.016,NA,NA,NA,NA,NA,2.451,NA,NA,NA,NA
"278",118,NA,NA,NA,NA,NA,3.635,NA,NA,NA,NA,NA
"226",119,NA,NA,NA,NA,3.455,NA,NA,NA,NA,NA,2.761
"487",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.741,NA
"174",121,NA,NA,NA,3.764,NA,NA,NA,NA,2.331,NA,NA
"122",122,NA,NA,3.906,NA,NA,NA,NA,NA,NA,NA,NA
"70",123,NA,2.864,NA,NA,NA,NA,NA,2.168,NA,NA,NA
"18",124,2.045,NA,NA,NA,NA,NA,2.517,NA,NA,NA,NA
"279",125,NA,NA,NA,NA,NA,3.606,NA,NA,NA,NA,NA
"227",126,NA,NA,NA,NA,3.478,NA,NA,NA,NA,NA,2.771
"488",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.733,NA
"175",128,NA,NA,NA,3.718,NA,NA,NA,NA,2.288,NA,NA
"123",129,NA,NA,3.907,NA,NA,NA,NA,NA,NA,NA,NA
"71",130,NA,2.87,NA,NA,NA,NA,NA,2.143,NA,NA,NA
"19",131,2.218,NA,NA,NA,NA,NA,2.547,NA,NA,NA,NA
"280",132,NA,NA,NA,NA,NA,3.597,NA,NA,NA,NA,NA
"228",133,NA,NA,NA,NA,3.543,NA,NA,NA,NA,NA,2.735
"489",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.786,NA
"176",135,NA,NA,NA,3.658,NA,NA,NA,NA,2.283,NA,NA
"124",136,NA,NA,3.905,NA,NA,NA,NA,NA,NA,NA,NA
"72",137,NA,2.823,NA,NA,NA,NA,NA,2.17,NA,NA,NA
"20",138,2.281,NA,NA,NA,NA,NA,2.604,NA,NA,NA,NA
"281",139,NA,NA,NA,NA,NA,3.593,NA,NA,NA,NA,NA
"229",140,NA,NA,NA,NA,3.636,NA,NA,NA,NA,NA,2.723
"490",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.834,NA
"177",142,NA,NA,NA,3.622,NA,NA,NA,NA,2.306,NA,NA
"125",143,NA,NA,3.788,NA,NA,NA,NA,NA,NA,NA,NA
"73",144,NA,2.741,NA,NA,NA,NA,NA,2.235,NA,NA,NA
"21",145,2.414,NA,NA,NA,NA,NA,2.642,NA,NA,NA,NA
"282",146,NA,NA,NA,NA,NA,3.607,NA,NA,NA,NA,NA
"230",147,NA,NA,NA,NA,3.601,NA,NA,NA,NA,NA,2.696
"491",148,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.877,NA
"178",149,NA,NA,NA,3.575,NA,NA,NA,NA,2.308,NA,NA
"126",150,NA,NA,3.741,NA,NA,NA,NA,NA,NA,NA,NA
"74",151,NA,2.679,NA,NA,NA,NA,NA,2.281,NA,NA,NA
"22",152,2.502,NA,NA,NA,NA,NA,2.656,NA,NA,NA,NA
"283",153,NA,NA,NA,NA,NA,3.624,NA,NA,NA,NA,NA
"231",154,NA,NA,NA,NA,3.61,NA,NA,NA,NA,NA,2.691
"492",155,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.849,NA
"179",156,NA,NA,NA,3.518,NA,NA,NA,NA,2.325,NA,NA
"127",157,NA,NA,3.738,NA,NA,NA,NA,NA,NA,NA,NA
"75",158,NA,2.674,NA,NA,NA,NA,NA,2.328,NA,NA,NA
"23",159,2.6,NA,NA,NA,NA,NA,2.668,NA,NA,NA,NA
"284",160,NA,NA,NA,NA,NA,3.61,NA,NA,NA,NA,NA
"232",161,NA,NA,NA,NA,3.619,NA,NA,NA,NA,NA,NA
"493",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.822,NA
"180",163,NA,NA,NA,3.489,NA,NA,NA,NA,2.276,NA,NA
"128",164,NA,NA,3.664,NA,NA,NA,NA,NA,NA,NA,NA
"76",165,NA,2.652,NA,NA,NA,NA,NA,2.343,NA,NA,NA
"24",166,2.639,NA,NA,NA,NA,NA,2.744,NA,NA,NA,NA
"285",167,NA,NA,NA,NA,NA,3.621,NA,NA,NA,NA,NA
"233",168,NA,NA,NA,NA,3.577,NA,NA,NA,NA,NA,NA
"494",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,NA
"181",170,NA,NA,NA,3.473,NA,NA,NA,NA,2.224,NA,NA
"129",171,NA,NA,3.597,NA,NA,NA,NA,NA,NA,NA,NA
"77",172,NA,2.696,NA,NA,NA,NA,NA,2.29,NA,NA,NA
"25",173,2.65,NA,NA,NA,NA,NA,2.72,NA,NA,NA,NA
